FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
Il était une fois un homme si pauvre qu'il ne pouvait pas même nourrir son fils unique. ,,,,,"There was once on a time a poor man, who could no longer support his only son."
Celui-ci lui dit un jour:,,,,,"Then said the son, Dear father,"
"Mon cher père, vous avez tant de peine à vivre, que mon entretien vous est un trop lourd fardeau; ",,,,,things go so badly with us that I am a burden to you.
"je veux vous quitter, et chercher à gagner moi-même mon pain.",,,,,I would rather go away and see how I can earn my bread.
Le pauvre père lui donna donc sa bénédiction ,,,,,"So the father gave him his blessing,"
et le vit prendre congé de lui non sans un grand chagrin.,,,,,and with great sorrow took leave of him.
C'était le moment où le roi d'un puissant empire faisait la guerre; ,,,,,"At this time the King of a mighty empire was at war,"
le jeune homme s'engagea à son service et l'accompagna dans les camps. ,,,,,"and the youth took service with him, and with him went out to fight."
On ne tarda pas à rencontrer l'ennemi; on livra bataille;,,,,,"And when he came before the enemy, there was a battle,"
"l'affaire fut des plus meurtrières, les balles qui sifflaient de toutes parts firent tomber comme grêle ses camarades à ses côtés;",,,,,"and great danger, and it rained shot until his comrades fell on all sides,"
le commandant lui-même fut frappé à mort;,,,,,"and when the leader also was killed,"
et les soldats privés de leur chef criaient déjà: Sauve qui peut!,,,,,"those left were about to take flight,"
"Lorsque le hardi jeune homme sortit des rangs, arrêta les fuyards et ranima leur courage ",,,,,"but the youth stepped forth, spoke boldly to them,"
en leur criant: Laisserons-nous succomber notre patrie?,,,,,"and cried, We will not let our fatherland be ruined!"
"Avec mots, les autres le suivirent,",,,,,"Then the others followed him,"
"et faisant volteface à l'ennemi, ils le mirent en déroute.",,,,,and he pressed on and conquered the enemy.
"Lorsque le roi apprit à qui il était redevable de la victoire, ",,,,,"When the King heard that he owed the victory to him alone,"
"il éleva le jeune homme au-dessus des autres, ",,,,,"he raised him above all the others,"
le combla de trésors ,,,,,"gave him great treasures,"
et lui donna une des premières charges dans l'état.,,,,,and made him the first in the kingdom.
Le roi avait une fille dont la beauté était aussi remarquable que son humeur était bizarre.,,,,,"The King had a daughter who was very beautiful, but she was also very strange."
"Elle avait fait voeu de n'accepter pour époux que celui qui lui promettrait de se laisser enterrer vivant avec elle, si elle mourait avant lui.",,,,,She had made a vow to take no one as her lord and husband who did not promise to let himself be buried alive with her if she died first.
"S'il m'aime vraiment, disait-elle, pourquoi tiendrait-il à la vie après m'avoir perdue?",,,,,"If he loves me with all his heart, said she, of what use will life be to him afterwards?"
"De son côté, elle voulait faire la même promesse:",,,,,"On her side she would do the same,"
"s'il mourait le premier, elle le suivrait dans la tombe.",,,,,"and if he died first, would go down to the grave with him."
