FR,GLOSS_LSF,GENERATED,TENSE,GLOSS_LSFB,EN
"A l'orée d'une grande forêt vivaient un pauvre bûcheron,",,,,,Near a great forest there lived a poor woodcutter 
sa femme,,,,,"and his wife, "
et ses deux enfants.,,,,,and his two children; 
Le garçon s'appelait Hansel et la fille Grethel.,,,,,the boy's name was Hansel and the girl's Grethel. 
La famille ne mangeait guère.,,,,,"They had very little to bite or to sup, "
Une année que la famine régnait dans le pays  ,,,,,"and once, when there was great dearth in the land, "
"et que le pain lui-même vint à manquer,",,,,,the man could not even gain the daily bread. 
"une nuit, dans son lit ruminant ses idées noires,",,,,,"As he lay in bed one night thinking of this, "
et remâchait ses soucis.,,,,,"and turning and tossing, "
et dit à sa femme,,,,,"and said to his wife, "
Qu'allons-nous devenir?,,,,,What will become of us? 
"Comment nourrir nos pauvres enfants,",,,,,we cannot even feed our children; 
quand nous n'avons plus rien pour nous-mêmes?,,,,,there is nothing left for ourselves.
"Eh bien, mon homme,",,,,,"I will tell you what, husband, "
"dit la femme,",,,,,answered the wife; 
"Dès l'aube, nous conduirons les enfants au plus profond de la forêt",,,,,"we will take the children early in the morning into the forest, where it is thickest; "
nous leur allumerons un feu ,,,,,"we will make them a fire, "
et leur donnerons à chacun un petit morceau de pain.,,,,,"and we will give each of them a piece of bread, "
Puis nous irons à notre travail et les laisserons seuls.,,,,,then we will go to our work and leave them alone; 
Ils ne retrouveront plus leur chemin,,,,,"they will never find the way home again, "
et nous en serons débarrassés.,,,,,and we shall be quit of them.
"Non, femme, dit le bûcheron. je ne ferai pas cela!",,,,,"No, wife, said the man, I cannot do that; "
Comment pourrais-je me résoudre à laisser nos enfants tout seuls dans la forêt!,,,,,I cannot find in my heart to take my children into the forest and to leave them there alone; 
Les bêtes sauvages ne tarderaient pas à les dévorer.,,,,,the wild animals would soon come and devour them. 
"Oh! fou, rétorqua-t-elle, tu préfères donc que nous mourions de faim tous les quatre?",,,,,"O you fool, said she, then we will all four starve; "
"Alors, il ne te reste qu'à raboter les planches de nos cercueils.",,,,,"you had better get the coffins ready, "
Elle n'eut de cesse qu'il n'acceptât ce qu'elle proposait.,,,,,and she left him no peace until he consented. 
"Mais j'ai quand même pitié de ces pauvres enfants, dit le bûcheron.",,,,,"But I really pity the poor children, said the man."
Les deux petits n'avaient pas pu s'endormir tant ils avaient faim.,,,,,"The two children had not been able to sleep for hunger, "
Ils avaient entendu ce que la marâtre disait à leur père.,,,,,and had heard what their step-mother had said to their father. 
Grethel pleura des larmes amères et dit à son frère:,,,,,"Grethel wept bitterly, "
C'en est fait de nous,,,,,"and said to Hansel, It is all over with us."
"Du calme, Grethel, dit Hansel. ",,,,,"Do be quiet, Grethel, said Hansel, "
Ne t'en fais pas;,,,,,and do not fret; 
Je trouverai un moyen de nous en tirer.,,,,,I will manage something. 
"Quand les parents furent endormis, il se leva,",,,,,"And when the parents had gone to sleep he got up, "
"enfila ses habits,",,,,,"put on his little coat, "
ouvrit la porte arrière et se glissa dehors.,,,,,"opened the back door, "
et se glissa dehors.,,,,,and slipped out. 
La lune brillait dans le ciel ,,,,,"The moon was shining brightly, "
"et les graviers blancs, devant la maison, étincelaient comme des diamants.",,,,,and the white flints that lay in front of the house glistened like pieces of silver. 
Hansel se pencha et en mit dans ses poches autant qu'il put.,,,,,Hansel stooped and filled the little pocket of his coat as full as it would hold. 
Puis il rentra dans la maison et dit à Grethel:,,,,,"Then he went back again, "
"Aie confiance, chère petite soeur,",,,,,"and said to Grethel, Be easy, dear little sister, "
 et dors tranquille.,,,,,and go to sleep quietly; 
Dieu ne nous abandonnera pas.,,,,,"God will not forsake us, "
Et lui-même se recoucha.,,,,,and laid himself down again in his bed. 
"Quand vint le jour,",,,,,"When the day was breaking, "
"avant même que le soleil ne se levât,",,,,,"and before the sun had risen, "
la femme réveilla les deux enfants:,,,,,"the wife came and awakened the two children, "
"Debout, paresseux!",,,,,"saying, Get up, you lazy bones; "
Nous allons aller dans la forêt pour y chercher du bois.,,,,,we are going into the forest to cut wood. 
Elle leur donna un morceau de pain à chacun ,,,,,"Then she gave each of them a piece of bread, "
et dit: Voici pour le repas de midi;,,,,,"and said, That is for dinner, "
"ne mangez pas tout avant, ",,,,,"and you must not eat it before then, "
car vous n'aurez rien d'autre.,,,,,for you will get no more. 
"Grethel mit le pain dans son tablier,",,,,,"Grethel carried the bread under her apron, "
"comme les poches de Hansel étaient pleines de cailloux,",,,,,for Hansel had his pockets full of the flints. 
"Puis, ils se mirent tous en route pour la forêt.",,,,,Then they set off all together on their way to the forest. 
"Au bout de quelque temps, Hansel s'arrêta et regarda en direction de la maison.",,,,,"When they had gone a little way Hansel stood still and looked back towards the house, "
"Et sans cesse, il répétait ce geste.",,,,,"and this he did again and again, till his father said to him, "
"Le père dit: Que regardes-tu, Hansel, et pourquoi restes-tu toujours en arrière?",,,,,"Hansel, what are you looking at? "
Fais attention à toi et n'oublie pas de marcher!,,,,,take care not to forget your legs.
"Ah! père dit Hansel, Je regarde mon petit chat blanc qui est perché là-haut sur le toit et je lui dis au revoir.",,,,,"O father, said Hansel, I am looking at my little white kitten, who is sitting up on the roof to bid me good-bye. "
La femme dit: Fou que tu es! ,,,,,"You young fool, said the woman, "
"ce n'est pas le chaton, c'est un reflet de soleil sur la cheminée.",,,,,"that is not your kitten, but the sunshine on the chimney-pot. "
"Hansel, en réalité, n'avait pas vu le chat.",,,,,"Of course Hansel had not been looking at his kitten, "
"Mais, à chaque arrêt, il prenait un caillou blanc dans sa poche et le jetait sur le chemin.",,,,,but had been taking every now and then a flint from his pocket and dropping it on the road. 
"Quand ils furent arrivés au milieu de la forêt, le père dit: Maintenant, les enfants, ramassez du bois! je vais allumer un feu pour que vous n'ayez pas froid.",,,,,"When they reached the middle of the forest the father told the children to collect wood to make a fire to keep them, warm; "
Hansel et Grethel amassèrent des brindilles au sommet d'une petite colline. ,,,,,and Hansel and Grethel gathered brushwood enough for a little mountain 
"Quand on y eut mit le feu et qu'il eut bien pris,",,,,,"and it was set on fire, and when the flame was burning quite high the wife said, "
"la femme dit: Couchez-vous auprès de lui, les enfants, et reposez-vous.",,,,,"Now lie down by the fire and rest yourselves, you children, "
Nous allons abattre du bois.,,,,,and we will go and cut wood; 
"Quand nous aurons fini, nous reviendrons vous chercher.",,,,,and when we are ready we will come and fetch you.
Hansel et Grethel s'assirent auprès du feu,,,,,"So Hansel and Grethel sat by the fire, "
"et quand vint l'heure du déjeuner, ils mangèrent leur morceau de pain.",,,,,and at noon they each ate their pieces of bread. 
Ils entendaient retentir des coups de hache et pensaient que leur père était tout proche.,,,,,"They thought their father was in the wood all the time, as they seemed to hear the strokes of the axe: "
"Mais ce n'était pas la hache. C'était une branche que le bûcheron avait attachée à un arbre mort et que le vent faisait battre de-ci, de-là.",,,,,but really it was only a dry branch hanging to a withered tree that the wind moved to and fro. 
"Comme ils étaient assis là depuis des heures, les yeux finirent par leur tomber de fatigue",,,,,"So when they had stayed there a long time their eyelids closed with weariness, "
et ils s'endormirent.,,,,,and they fell fast asleep.
"Quand ils se réveillèrent, il faisait nuit noire.",,,,,"When at last they woke it was night, "
Grethel se mit à pleurer et dit:,,,,,"and Grethel began to cry, "
Comment ferons-nous pour sortir de la forêt?,,,,,"and said, How shall we ever get out of this wood? "
"Hansel la consola. Attends encore un peu, dit-il, jusqu'à ce que la lune soit levée.",,,,,"But Hansel comforted her, saying, Wait a little while longer, until the moon rises, "
"Alors, nous retrouverons notre chemin.",,,,,and then we can easily find the way home. 
"Quand la pleine lune brilla dans le ciel, il prit sa soeur par la main ",,,,,"And when the full moon got up Hansel took his little sister by the hand, "
et suivit les petits cailloux blancs. Ils étincelaient comme des écus frais battus et indiquaient le chemin.,,,,,"and followed the way where the flint stones shone like silver, and showed them the road. "
"Les enfants marchèrent toute la nuit et,",,,,,"They walked on the whole night through, "
"quand le jour se leva, ils atteignirent la maison paternelle.",,,,,and at the break of day they came to their father's house. 
Ils frappèrent à la porte.,,,,,"They knocked at the door, "
"Lorsque la femme eut ouvert et quand elle vit que c'étaient Hansel et Grethel, elle dit:",,,,,"and when the wife opened it and saw that it was Hansel and Grethel she said, "
Méchants enfants! pourquoi avez-vous dormi si longtemps dans la forêt?,,,,,"You naughty children, why did you sleep so long in the wood? "
Nous pensions que vous ne reviendriez jamais.,,,,,we thought you were never coming home again! 
"Leur père, lui, se réjouit, car il avait le coeur lourd de les avoir laissés seuls dans la forêt.",,,,,"But the father was glad, for it had gone to his heart to leave them both in the woods alone."
"Peu de temps après, la misère régna de plus belle ",,,,,"Not very long after that there was again great scarcity in those parts, "
"et les enfants entendirent ce que la marâtre disait, pendant la nuit, à son mari:",,,,,"and the children heard their mother say at night in bed to their father, "
"Il ne nous reste plus rien à manger, une demi-miche seulement,",,,,,"Everything is finished up; we have only half a loaf, "
"et après, finie la chanson!",,,,,and after that the tale comes to an end. 
Il faut nous débarrasser des enfants; nous les conduirons encore plus profond  dans la forêt pour qu'ils ne puissent plus retrouver leur chemin; il n'y a rien d'autre à faire.,,,,,"The children must be off; we will take them farther into the wood this time, so there is no other way to manage. That they shall not be able to find the way back again; "
Le père avait bien du chagrin. Il songeait  ,,,,,"The man felt sad at heart, and he thought, "
Il vaudrait mieux partager la dernière bouchée avec les enfants.  ,,,,,It would better to share one's last morsel with one's children. 
Mais la femme ne voulut n'en entendre. Elle le gourmanda et lui fit mille reproches.,,,,,"But the wife would listen to nothing that he said, but scolded and reproached him. "
"Qui a dit A doit dire B. Comme il avait accepté une première fois, il dut consentir derechef.",,,,,"He who says A must say B too, and when a man has given in once he has to do it a second time."
Les enfants n'étaient pas encore endormis.,,,,,"But the children were not asleep, "
Ils avaient tout entendu.,,,,,and had heard all the talk. 
